Time,Open,High,Low,Close,TR,+DM1,-DM1,TR14,+DM14,-DM14,+DI14,-DI14,DI14 Diff,DI14 Sum,DX,ADX
2017-09-01 10:00:00,3079,3079,3072,3074,,,,,,,,,,,,
2017-09-01 10:10:00,3074,3074,3073,3074,1.0,0.0,0.0,,,,,,,,,
2017-09-01 10:20:00,3074,3074,3072,3072,2.0,0.0,1.0,,,,,,,,,
2017-09-01 10:30:00,3072,3073,3072,3073,1.0,0.0,0.0,,,,,,,,,
2017-09-01 10:40:00,3073,3074,3072,3072,2.0,1.0,0.0,,,,,,,,,
2017-09-01 10:50:00,3072,3074,3072,3074,2.0,0.0,0.0,,,,,,,,,
2017-09-01 11:00:00,3074,3074,3073,3073,1.0,0.0,0.0,,,,,,,,,
2017-09-01 11:10:00,3073,3075,3073,3074,2.0,1.0,0.0,,,,,,,,,
2017-09-01 11:20:00,3074,3074,3072,3072,2.0,0.0,1.0,,,,,,,,,
2017-09-01 11:30:00,3072,3074,3072,3074,2.0,0.0,0.0,,,,,,,,,
2017-09-01 11:40:00,3074,3074,3072,3072,2.0,0.0,0.0,,,,,,,,,
2017-09-01 11:50:00,3072,3073,3072,3072,1.0,0.0,0.0,,,,,,,,,
2017-09-01 12:00:00,3072,3072,3067,3070,5.0,0.0,5.0,,,,,,,,,
2017-09-01 12:10:00,3070,3070,3068,3068,2.0,0.0,0.0,,,,,,,,,
2017-09-01 12:20:00,3068,3068,3066,3066,2.0,0.0,2.0,27.0,2.0,9.0,7.41,33.33,25.92,40.74,63.62,
2017-09-01 12:30:00,3066,3067,3063,3066,4.0,0.0,3.0,29.07,1.86,11.36,6.4,39.08,32.68,45.48,71.86,
2017-09-01 12:40:00,3066,3066,3063,3063,3.0,0.0,0.0,29.99,1.73,10.55,5.77,35.18,29.41,40.95,71.82,
2017-09-01 12:50:00,3063,3064,3061,3062,3.0,0.0,2.0,30.85,1.61,11.8,5.22,38.25,33.03,43.47,75.98,
2017-09-01 13:00:00,3062,3063,3061,3062,2.0,0.0,0.0,30.65,1.5,10.96,4.89,35.76,30.87,40.65,75.94,
2017-09-01 13:10:00,3062,3062,3059,3062,3.0,0.0,2.0,31.46,1.39,12.18,4.42,38.72,34.3,43.14,79.51,
2017-09-01 13:20:00,3062,3064,3062,3064,2.0,2.0,0.0,31.21,3.29,11.31,10.54,36.24,25.7,46.78,54.94,
2017-09-01 13:30:00,3064,3067,3062,3064,5.0,3.0,0.0,33.98,6.06,10.5,17.83,30.9,13.07,48.73,26.82,
2017-09-01 13:40:00,3064,3066,3064,3066,2.0,0.0,0.0,33.55,5.63,9.75,16.78,29.06,12.28,45.84,26.79,
2017-09-01 13:50:00,3066,3067,3065,3066,2.0,1.0,0.0,33.15,6.23,9.05,18.79,27.3,8.51,46.09,18.46,
2017-09-01 14:00:00,3066,3066,3063,3064,3.0,0.0,2.0,33.78,5.78,10.4,17.11,30.79,13.68,47.9,28.56,
2017-09-01 14:10:00,3064,3064,3061,3061,3.0,0.0,2.0,34.37,5.37,11.66,15.62,33.92,18.3,49.54,36.94,
2017-09-01 14:20:00,3061,3064,3061,3063,3.0,0.0,0.0,34.92,4.99,10.83,14.29,31.01,16.72,45.3,36.91,
2017-09-01 14:30:00,3063,3065,3063,3065,2.0,1.0,0.0,34.43,5.63,10.06,16.35,29.22,12.87,45.57,28.24,49.74214285714286
2017-09-01 14:40:00,3065,3069,3065,3067,4.0,4.0,0.0,35.97,9.23,9.34,25.66,25.97,0.31,51.63,0.6,46.23
2017-09-01 14:50:00,3067,3067,3062,3063,5.0,0.0,3.0,38.4,8.57,11.67,22.32,30.39,8.07,52.71,15.31,44.02
2017-09-01 15:00:00,3063,3063,3059,3061,4.0,0.0,3.0,39.66,7.96,13.84,20.07,34.9,14.83,54.97,26.98,42.8
2017-09-01 15:10:00,3061,3061,3059,3060,2.0,0.0,0.0,38.83,7.39,12.85,19.03,33.09,14.06,52.12,26.98,41.67
2017-09-01 15:20:00,3060,3061,3060,3060,1.0,0.0,0.0,37.06,6.86,11.93,18.51,32.19,13.68,50.7,26.98,40.62
2017-09-01 15:30:00,3060,3061,3059,3060,2.0,0.0,1.0,36.41,6.37,12.08,17.5,33.18,15.68,50.68,30.94,39.93
2017-09-01 15:40:00,3060,3061,3060,3060,1.0,0.0,0.0,34.81,5.92,11.22,17.01,32.23,15.22,49.24,30.91,39.29
2017-09-01 15:50:00,3060,3063,3060,3063,3.0,2.0,0.0,35.32,7.5,10.42,21.23,29.5,8.27,50.73,16.3,37.65
2017-09-01 16:00:00,3063,3064,3062,3062,2.0,1.0,0.0,34.8,7.96,9.68,22.87,27.82,4.95,50.69,9.77,35.66
2017-09-01 16:10:00,3062,3062,3060,3062,2.0,0.0,2.0,34.31,7.39,10.99,21.54,32.03,10.49,53.57,19.58,34.51
2017-09-01 16:20:00,3062,3064,3062,3063,2.0,2.0,0.0,33.86,8.86,10.2,26.17,30.12,3.95,56.29,7.02,32.55
2017-09-01 16:30:00,3063,3070,3063,3068,7.0,6.0,0.0,38.44,14.23,9.47,37.02,24.64,12.38,61.66,20.08,31.66
2017-09-01 16:40:00,3068,3073,3068,3071,5.0,3.0,0.0,40.69,16.21,8.79,39.84,21.6,18.24,61.44,29.69,31.52
2017-09-01 16:50:00,3071,3073,3070,3071,3.0,0.0,0.0,40.78,15.05,8.16,36.91,20.01,16.9,56.92,29.69,31.39
2017-09-01 17:00:00,3071,3078,3071,3074,7.0,5.0,0.0,44.87,18.98,7.58,42.3,16.89,25.41,59.19,42.93,32.21
2017-09-01 17:10:00,3075,3081,3075,3081,7.0,3.0,0.0,48.66,20.62,7.04,42.38,14.47,27.91,56.85,49.09,33.42
2017-09-01 17:20:00,3081,3084,3080,3083,4.0,3.0,0.0,49.18,22.15,6.54,45.04,13.3,31.74,58.34,54.41,34.92
2017-09-01 17:30:00,3083,3085,3080,3084,5.0,1.0,0.0,50.67,21.57,6.07,42.57,11.98,30.59,54.55,56.08,36.43
2017-09-01 17:40:00,3084,3086,3079,3080,7.0,0.0,0.0,54.05,20.03,5.64,37.06,10.43,26.63,47.49,56.07,37.83
2017-09-01 17:50:00,3080,3081,3071,3075,10.0,0.0,8.0,60.19,18.6,13.24,30.9,22.0,8.9,52.9,16.82,36.33
2017-09-01 18:00:00,3075,3083,3073,3079,10.0,2.0,0.0,65.89,19.27,12.29,29.25,18.65,10.6,47.9,22.13,35.32
2017-09-01 18:10:00,3079,3079,3062,3069,17.0,0.0,11.0,78.18,17.89,22.41,22.88,28.66,5.78,51.54,11.21,33.6
2017-09-01 18:20:00,3069,3071,3067,3068,4.0,0.0,0.0,76.6,16.61,20.81,21.68,27.17,5.49,48.85,11.24,32.0
2017-09-01 18:30:00,3068,3080,3068,3076,12.0,9.0,0.0,83.13,24.42,19.32,29.38,23.24,6.14,52.62,11.67,30.55
2017-09-01 18:40:00,3076,3079,3070,3076,9.0,0.0,0.0,86.19,22.68,17.94,26.31,20.81,5.5,47.12,11.67,29.2
2017-09-01 18:50:00,3076,3078,3070,3072,8.0,0.0,0.0,88.03,21.06,16.66,23.92,18.93,4.99,42.85,11.65,27.95
2017-09-01 19:00:00,3072,3075,3055,3057,20.0,0.0,15.0,101.74,19.56,30.47,19.23,29.95,10.72,49.18,21.8,27.51
2017-09-01 19:10:00,3057,3061,3051,3061,10.0,0.0,4.0,104.47,18.16,32.29,17.38,30.91,13.53,48.29,28.02,27.55
2017-09-01 19:20:00,3061,3064,3056,3059,8.0,3.0,0.0,105.01,19.86,29.98,18.91,28.55,9.64,47.46,20.31,27.03
2017-09-01 19:30:00,3059,3062,3051,3052,11.0,0.0,5.0,108.51,18.44,32.84,16.99,30.26,13.27,47.25,28.08,27.1
2017-09-01 19:40:00,3052,3058,3052,3058,6.0,0.0,0.0,106.76,17.12,30.49,16.04,28.56,12.52,44.6,28.07,27.17
2017-09-01 19:50:00,3058,3060,3056,3060,4.0,2.0,0.0,103.13,17.9,28.31,17.36,27.45,10.09,44.81,22.52,26.84
2017-09-01 20:00:00,3060,3088,3060,3082,28.0,28.0,0.0,123.76,44.62,26.29,36.05,21.24,14.81,57.29,25.85,26.77
2017-09-01 20:10:00,3082,3084,3076,3081,8.0,0.0,0.0,122.92,41.43,24.41,33.7,19.86,13.84,53.56,25.84,26.7
